2023-09-25 08:46:18,118 INFO  - Initialize application (at simulation time 7.000,000,000 s)
2023-09-25 08:46:18,119 INFO  - Activated Cellular Module (at simulation time 7.000,000,000 s)
2023-09-25 08:46:18,120 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 0,  41.6304806,  -71.0019975, Road CLOSED, }, Latitude= 41.6304806, Longitude= -71.0019975,  (at simulation time 7.000,000,000 s)
2023-09-25 08:46:18,121 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 1,  41.63056350986336,  -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.100,000,000 s)
2023-09-25 08:46:18,121 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 2,  41.63056350986336,  -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.200,000,000 s)
2023-09-25 08:46:18,121 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 3,  41.63056350986336,  -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.300,000,000 s)
2023-09-25 08:46:18,122 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 4,  41.63056350986336,  -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.400,000,000 s)
2023-09-25 08:46:18,122 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 5,  41.63056350986336,  -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.500,000,000 s)
2023-09-25 08:46:18,122 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 6,  41.63056350986336,  -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.600,000,000 s)
2023-09-25 08:46:18,122 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 7,  41.63056350986336,  -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.700,000,000 s)
2023-09-25 08:46:18,122 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 8,  41.63056350986336,  -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.800,000,000 s)
2023-09-25 08:46:18,123 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 9,  41.63056350986336,  -71.00201410875673, Road CLOSED, }, Latitude= 41.63056350986336, Longitude= -71.00201410875673,  (at simulation time 7.900,000,000 s)
2023-09-25 08:46:18,126 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 10,  41.630583032577256,  -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.000,000,000 s)
2023-09-25 08:46:18,127 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 11,  41.630583032577256,  -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.100,000,000 s)
2023-09-25 08:46:18,128 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 12,  41.630583032577256,  -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.200,000,000 s)
2023-09-25 08:46:18,128 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 13,  41.630583032577256,  -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.300,000,000 s)
2023-09-25 08:46:18,128 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 14,  41.630583032577256,  -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.400,000,000 s)
2023-09-25 08:46:18,128 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 15,  41.630583032577256,  -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.500,000,000 s)
2023-09-25 08:46:18,129 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 16,  41.630583032577256,  -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.600,000,000 s)
2023-09-25 08:46:18,129 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 17,  41.630583032577256,  -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.700,000,000 s)
2023-09-25 08:46:18,129 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 18,  41.630583032577256,  -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.800,000,000 s)
2023-09-25 08:46:18,129 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 19,  41.630583032577256,  -71.00202280190022, Road CLOSED, }, Latitude= 41.630583032577256, Longitude= -71.00202280190022,  (at simulation time 8.900,000,000 s)
2023-09-25 08:46:18,132 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 20,  41.63061937632063,  -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.000,000,000 s)
2023-09-25 08:46:18,133 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 21,  41.63061937632063,  -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.100,000,000 s)
2023-09-25 08:46:18,133 INFO  - ,Broadcast V2X Message from ,veh_1, InterVehicleMsg{,77, 22,  41.63061937632063,  -71.00203898518708, Road CLOSED, }, Latitude= 41.63061937632063, Longitude= -71.00203898518708,  (at simulation time 9.200,000,000 s)
