Date and Time, ,V2X Message Detail,Sender,Receiver,Message Type,Msg Id,Seq Num,Latitude - Sender,Longitude - Sender,Message Content,Latitude - Receiver,Longitude - Receiver,Simulation Time - Sender, ,Simulation Time - Receiver, 
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 20,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63056376783319, Longitude= -71.00201422362642, }, Latitude= 41.62984225180874,  (at simulation time 10.003,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 21,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63056376783319, Longitude= -71.00201422362642, }, Latitude= 41.62984225180874,  (at simulation time 10.101,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 22,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63056376783319, Longitude= -71.00201422362642, }, Latitude= 41.62984225180874,  (at simulation time 10.203,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 23,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63056376783319, Longitude= -71.00201422362642, }, Latitude= 41.62984225180874,  (at simulation time 10.303,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 24,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63056376783319, Longitude= -71.00201422362642, }, Latitude= 41.62984225180874,  (at simulation time 10.401,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 25,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63056376783319, Longitude= -71.00201422362642, }, Latitude= 41.62984225180874,  (at simulation time 10.503,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 26,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63056376783319, Longitude= -71.00201422362642, }, Latitude= 41.62984225180874,  (at simulation time 10.602,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 27,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63056376783319, Longitude= -71.00201422362642, }, Latitude= 41.62984225180874,  (at simulation time 10.703,300
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 28,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63056376783319, Longitude= -71.00201422362642, }, Latitude= 41.62984225180874,  (at simulation time 10.802,300
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 29,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63056376783319, Longitude= -71.00201422362642, }, Latitude= 41.62984225180874,  (at simulation time 10.901,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 30,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63057999059899, Longitude= -71.00202144735694, }, Latitude= 41.62984225180874,  (at simulation time 11.003,300
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 31,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63057999059899, Longitude= -71.00202144735694, }, Latitude= 41.62984225180874,  (at simulation time 11.102,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 32,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63057999059899, Longitude= -71.00202144735694, }, Latitude= 41.62984225180874,  (at simulation time 11.202,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 33,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63057999059899, Longitude= -71.00202144735694, }, Latitude= 41.62984225180874,  (at simulation time 11.302,300
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 34,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63057999059899, Longitude= -71.00202144735694, }, Latitude= 41.62984225180874,  (at simulation time 11.403,300
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 35,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63057999059899, Longitude= -71.00202144735694, }, Latitude= 41.62984225180874,  (at simulation time 11.503,300
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 36,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63057999059899, Longitude= -71.00202144735694, }, Latitude= 41.62984225180874,  (at simulation time 11.602,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 37,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63057999059899, Longitude= -71.00202144735694, }, Latitude= 41.62984225180874,  (at simulation time 11.702,800
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 38,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63057999059899, Longitude= -71.00202144735694, }, Latitude= 41.62984225180874,  (at simulation time 11.804,300
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 39,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.63057999059899, Longitude= -71.00202144735694, }, Latitude= 41.62984225180874,  (at simulation time 11.903,300
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 40,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.630613539910435, Longitude= -71.00203638632574, }, Latitude= 41.62984225180874,  (at simulation time 12.003,300
2023-11-20 22:22:27,357 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 41,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.630613539910435, Longitude= -71.00203638632574, }, Latitude= 41.62984225180874,  (at simulation time 12.103,300
2023-11-20 22:22:27,372 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 42,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.630613539910435, Longitude= -71.00203638632574, }, Latitude= 41.62984225180874,  (at simulation time 12.202,300
2023-11-20 22:22:27,372 INFO  - ,Broadcast V2X Message from ,rsu_0,veh_2, InterVehicleMsg{,28, 43,  41.62984225180874,  -71.00160289947058, Road CLOSED, Latitude= 41.630613539910435, Longitude= -71.00203638632574, }, Latitude= 41.62984225180874,  (at simulation time 12.302,800
