2023-09-25 08:46:53,749 INFO  - Initialize application (at simulation time 0.000,000,000 s)
2023-09-25 08:46:53,751 INFO  - Activated Cellular Module (at simulation time 0.000,000,000 s)
2023-09-25 08:46:54,438 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 2250,  41.62660947551681,  -71.00233201092142, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.002,400,000 s)
2023-09-25 08:46:54,438 INFO  - ,Broadcast V2X Message from ,rsu_1, InterVehicleMsg{,29, 1330,  41.624904823523146,  -71.00503028495768, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.002,400,000 s)
2023-09-25 08:46:54,438 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 2251,  41.62660947551681,  -71.00233201092142, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.102,400,000 s)
2023-09-25 08:46:54,438 INFO  - ,Broadcast V2X Message from ,rsu_1, InterVehicleMsg{,29, 1331,  41.624904823523146,  -71.00503028495768, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.102,400,000 s)
2023-09-25 08:46:54,438 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 2252,  41.62660947551681,  -71.00233201092142, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.201,900,000 s)
2023-09-25 08:46:54,438 INFO  - ,Broadcast V2X Message from ,rsu_1, InterVehicleMsg{,29, 1332,  41.624904823523146,  -71.00503028495768, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.201,900,000 s)
2023-09-25 08:46:54,438 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 2253,  41.62660947551681,  -71.00233201092142, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.301,400,000 s)
2023-09-25 08:46:54,438 INFO  - ,Broadcast V2X Message from ,rsu_1, InterVehicleMsg{,29, 1333,  41.624904823523146,  -71.00503028495768, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.301,400,000 s)
2023-09-25 08:46:54,438 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 2254,  41.62660947551681,  -71.00233201092142, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.400,900,000 s)
2023-09-25 08:46:54,438 INFO  - ,Broadcast V2X Message from ,rsu_1, InterVehicleMsg{,29, 1334,  41.624904823523146,  -71.00503028495768, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.400,900,000 s)
2023-09-25 08:46:54,438 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 2255,  41.62660947551681,  -71.00233201092142, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.501,400,000 s)
2023-09-25 08:46:54,438 INFO  - ,Broadcast V2X Message from ,rsu_1, InterVehicleMsg{,29, 1335,  41.624904823523146,  -71.00503028495768, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.501,400,000 s)
2023-09-25 08:46:54,439 INFO  - ,Received V2X Message from ,veh_1, InterVehicleMsg{,77, 2256,  41.62660947551681,  -71.00233201092142, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.602,400,000 s)
2023-09-25 08:46:54,439 INFO  - ,Broadcast V2X Message from ,rsu_1, InterVehicleMsg{,29, 1336,  41.624904823523146,  -71.00503028495768, Road CLOSED, }, Latitude= 41.624904823523146, Longitude= -71.00503028495768,  (at simulation time 232.602,400,000 s)
